DATE,WGS10YR
2017-03-17,2.55
2017-03-24,2.42
2017-03-31,2.40
2017-04-07,2.35
2017-04-14,2.30
2017-04-21,2.23
2017-04-28,2.31
2017-05-05,2.33
2017-05-12,2.39
2017-05-19,2.27
2017-05-26,2.26
2017-06-02,2.20
2017-06-09,2.18
2017-06-16,2.18
2017-06-23,2.16
2017-06-30,2.23
2017-07-07,2.36
2017-07-14,2.35
2017-07-21,2.27
2017-07-28,2.30
2017-08-04,2.27
2017-08-11,2.24
2017-08-18,2.22
2017-08-25,2.19
2017-09-01,2.14
2017-09-08,2.07
2017-09-15,2.18
2017-09-22,2.26
2017-09-29,2.28
2017-10-06,2.34
2017-10-13,2.33
2017-10-20,2.33
2017-10-27,2.42
2017-11-03,2.36
2017-11-10,2.34
2017-11-17,2.37
2017-11-24,2.35
2017-12-01,2.36
2017-12-08,2.36
2017-12-15,2.37
2017-12-22,2.46
2017-12-29,2.43
2018-01-05,2.46
2018-01-12,2.54
2018-01-19,2.59
2018-01-26,2.65
2018-02-02,2.75
2018-02-09,2.82
2018-02-16,2.87
2018-02-23,2.91
2018-03-02,2.86
2018-03-09,2.88
2018-03-16,2.84
